class,precision,recall,f1,support
0,1.0,1.0,1.0,16
1,1.0,1.0,1.0,12
2,1.0,1.0,1.0,14
3,1.0,1.0,1.0,10
4,1.0,1.0,1.0,10
5,1.0,1.0,1.0,6
6,1.0,1.0,1.0,14
7,1.0,1.0,1.0,8
8,1.0,1.0,1.0,12
9,1.0,1.0,1.0,14
A,1.0,0.99,0.9949748743718593,300
B,1.0,1.0,1.0,162
C,1.0,1.0,1.0,256
D,1.0,1.0,1.0,220
E,1.0,1.0,1.0,142
F,1.0,1.0,1.0,110
G,1.0,1.0,1.0,152
H,1.0,0.9924242424242424,0.9961977186311787,132
I,1.0,1.0,1.0,130
J,1.0,1.0,1.0,120
L,1.0,1.0,1.0,136
M,0.9770992366412213,0.9846153846153847,0.9808429118773947,130
O,1.0,1.0,1.0,116
P,0.9904761904761905,1.0,0.9952153110047847,104
Q,1.0,1.0,1.0,172
R,1.0,0.9859154929577465,0.9929078014184397,142
S,0.9917355371900827,1.0,0.995850622406639,120
T,1.0,1.0,1.0,174
U,0.9333333333333333,1.0,0.9655172413793104,112
V,1.0,0.9558823529411765,0.9774436090225563,136
Y,1.0,1.0,1.0,136
Z,1.0,1.0,1.0,136
K,1.0,1.0,1.0,90
N,0.991869918699187,1.0,0.9959183673469388,122
W,1.0,1.0,1.0,120
X,1.0,1.0,1.0,110
